primary_title,runtime_minutes,genres,average_rating,num_votes,directors,writers,studio,year,release_date,production_budget,domestic_gross,worldwide_gross,foreign_gross,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,sci_fi,sport,thriller,war,western
A Haunted House 2,86.0,"['Comedy', 'Fantasy']",4.7,18085.0,nm1639277,"nm0005541,nm0023315",ORF,2014,2014-04-18,4000000.0,17329487.0,21206861.0,3877374.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Pitch Perfect 2,115.0,"['Comedy', 'Music']",6.4,130692.0,nm0006969,"nm0134224,nm3015467",Uni.,2015,2015-05-15,29000000.0,184296230.0,287625468.0,103329238.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Tag,100.0,['Comedy'],6.5,85186.0,nm1762961,"nm1301035,nm0825356,nm9715487",WB (NL),2018,2018-06-15,28000000.0,54730625.0,77026186.0,22295561.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ride Along 2,102.0,"['Action', 'Comedy', 'Crime']",5.9,48688.0,nm1103162,"nm0006534,nm0542062,nm0177637",Uni.,2016,2016-01-15,40000000.0,90862685.0,124827316.0,33964631.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Wish I Was Here,106.0,"['Comedy', 'Drama']",6.7,34907.0,nm0103785,"nm0103783,nm0103785",Focus,2014,2014-07-18,6000000.0,3591299.0,6591365.0,3000066.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Nightcrawler,117.0,"['Crime', 'Drama', 'Thriller']",7.9,404476.0,nm0319659,nm0319659,ORF,2014,2014-10-31,8500000.0,32381218.0,50334418.0,17953200.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Lucy,89.0,"['Action', 'Sci-Fi', 'Thriller']",6.4,403194.0,nm0000108,nm0000108,Uni.,2014,2014-07-25,40000000.0,126573960.0,457507776.0,330933816.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
Red Sparrow,140.0,"['Action', 'Drama', 'Thriller']",6.6,136738.0,nm1349376,"nm1244808,nm5645796",Fox,2018,2018-03-02,69000000.0,46874505.0,145951861.0,99077356.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
I Origins,106.0,"['Drama', 'Romance', 'Sci-Fi']",7.4,104718.0,nm2648685,nm2648685,FoxS,2014,2014-07-18,1000000.0,336472.0,852399.0,515927.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
Obvious Child,84.0,"['Comedy', 'Drama', 'Romance']",6.8,21536.0,nm3521871,"nm3521871,nm3505289,nm3831085,nm2210641,nm0543283",A24,2014,2014-06-06,1000000.0,3122616.0,3324070.0,201454.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
The Signal,97.0,"['Drama', 'Mystery', 'Sci-Fi']",6.1,58407.0,nm1827931,"nm5673221,nm1827931,nm0295701",Focus,2014,2014-06-13,4000000.0,600896.0,2665322.0,2064426.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
